"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Apr 21 19:53:51 GMT 2023","Fri Apr 21 19:53:51 GMT 2023","73","player.muse","test_muse_playReport","","","","test_playReport_avt_queue_smapi_v1[Normal length tracks]","
    Verifies playReport events for the AVT SMAPI v1 queue have a valid apiKey UUID value
    :param ws_client:
    :param module_dut:
    :param mock_cq_control:
    :return:
    "
"passed","Fri Apr 21 19:55:24 GMT 2023","Fri Apr 21 19:55:47 GMT 2023","23408","player.muse","test_muse_playReport","","","","test_playReport_shared_queue","
    Verifies playReport events for the shared queue have a valid apiKey UUID value
    :param mock_cq_control:
    :param http_mp3_server:
    :param module_dut:
    :return:
    "
"passed","Fri Apr 21 20:01:40 GMT 2023","Fri Apr 21 20:02:29 GMT 2023","48248","player.muse","test_muse_playReport","","","","test_playReport_stream_error","
    SWPBL-116125
    Verify streaming error fields are present in the playReport should one happen
    :param module_dut:
    :param ws_client:
    :param mock_cq_server:
    :return:
    "
"passed","Fri Apr 21 19:52:39 GMT 2023","Fri Apr 21 19:53:02 GMT 2023","22751","player.muse","test_muse_playReport","","","","test_playReport_private_queue","
    Verifies playReport events for the private queue have a valid apiKey UUID value
    :param ws_client:
    :param mock_cq_control:
    :param module_dut:
    :param mock_cq_server:
    :return:
    "
"skipped","Fri Apr 21 19:58:40 GMT 2023","Fri Apr 21 19:58:40 GMT 2023","73","player.muse","test_muse_playReport","","","","test_playReport_shared_queue_delegation","
    Verifies playReport events for the shared queue post reboot have a valid apiKey delegation value
    :param websocket_manager:
    :param dut_manager:
    :param module_dut:
    :param mock_cq_server:
    :param mock_cq_control:
    :param http_mp3_server:
    :return:
    "
"passed","Fri Apr 21 19:59:21 GMT 2023","Fri Apr 21 19:59:44 GMT 2023","22965","player.muse","test_muse_playReport","","","","test_playReport_shared_queue_memory","
    Verifies playReport events for the shared queue with memory exhausted have a valid apiKey UUID value
    :param module_dut:
    :param mock_cq_control:
    :param http_mp3_server_separate_tracks:
    :return:
    "
"passed","Fri Apr 21 20:00:30 GMT 2023","Fri Apr 21 20:00:53 GMT 2023","23600","player.muse","test_muse_playReport","","","","test_playReport_system_sounds","
    Verifies playReport events for system sounds(ie, alarms and TruePlay) have a activatedAccountCode of -1
    SWPBL-139574
    :param module_dut:
    :param mock_cq_control:
    :param default_alarm:
    :return:
    "
"passed","Fri Apr 21 19:56:28 GMT 2023","Fri Apr 21 19:58:00 GMT 2023","92012","player.muse","test_muse_playReport","","","","test_playReport_shared_queue_restore","
    Verifies playReport events for the shared queue post reboot have a valid apiKey restore value
    :param mock_cq_control:
    :param http_mp3_server:
    :param module_dut:
    :return:
    "
"passed","Fri Apr 21 19:51:24 GMT 2023","Fri Apr 21 19:51:51 GMT 2023","27308","player.muse","test_muse_playReport","","","","test_playReport_avt_queue","
    Verifies playReport events for the AVT queue have a valid apiKey UUID value
    :param ws_client:
    :param mock_cq_control:
    :param module_dut:
    :return:
    "
"skipped","Fri Apr 21 19:54:36 GMT 2023","Fri Apr 21 19:54:36 GMT 2023","70","player.muse","test_muse_playReport","","","","test_playReport_avt_queue_delegation","
    Verifies playReport events for the AVT queue post delegation have a valid apiKey UUID value
    :param dut_manager:
    :param ws_client:
    :param module_dut:
    :param mock_cq_control:
    :param mock_cq_server:
    :param websocket_manager:
    :return:
    "
